Generation,Average Energy Gain,Max Energy Gain,Min Energy Gain
0,4.920000,15,5
1,9.020000,17,5
2,8.440000,16,6
3,5.230000,14,6
4,2.720000,15,5
5,2.990000,14,7
6,7.676471,16,4
7,10.022223,16,5
8,10.680000,17,6
9,8.020000,17,7
10,4.130000,15,7
11,3.200000,15,7
12,2.930000,15,7
13,8.750000,16,6
14,11.580000,17,6
15,10.330000,16,6
16,5.490000,16,9
17,3.740000,17,7
18,2.590000,16,9
19,5.298969,17,6
20,11.523255,17,7
21,11.580000,18,6
22,7.800000,17,7
23,5.950000,16,6
24,4.470000,16,5
25,2.940000,16,6
26,6.570000,18,9
27,11.560000,18,6
28,11.570000,17,6
29,5.800000,16,9
30,5.950000,17,9
31,2.480000,15,9
32,2.300000,15,9
33,7.214286,17,9
34,12.425000,16,8
35,11.990000,18,8
36,8.630000,18,8
37,4.970000,16,9
38,2.060000,17,10
39,1.080000,16,10
40,7.170213,17,9
41,12.480769,17,10
42,12.390000,17,6
43,12.280000,18,6
44,6.370000,18,9
45,6.350000,17,9
46,1.590000,15,9
47,2.080000,15,8
48,7.310345,16,9
49,12.424242,17,6
50,12.390000,18,8
51,11.110000,16,8
52,8.450000,18,8
53,3.110000,16,7
54,1.640000,17,11
55,4.910112,15,8
56,12.338235,17,6
57,12.030000,18,8
58,10.440000,17,7
59,7.680000,17,9
60,3.060000,17,9
61,2.320000,17,5
62,7.180000,17,10
63,12.970000,18,8
64,11.940000,18,8
65,7.710000,18,9
66,10.610000,17,9
67,3.110000,17,9
68,5.530000,18,10
69,6.210000,16,8
70,8.610000,18,8
71,10.700000,17,9
72,9.640000,17,8
73,9.600000,19,10
74,5.410000,17,9
75,4.510000,18,11
76,3.140000,17,9
77,7.620000,17,8
78,11.830000,18,8
79,12.010000,18,9
80,9.670000,18,8
81,10.340000,18,9
82,2.650000,17,10
83,3.540000,16,11
84,3.480000,17,10
85,10.767442,18,8
86,13.300000,18,10
87,10.480000,18,9
88,8.200000,18,8
89,7.660000,18,10
90,4.370000,17,10
91,4.480000,17,10
92,8.150000,18,9
93,9.840000,18,9
94,9.730000,18,8
95,8.470000,17,8
96,5.260000,17,8
97,5.510000,18,10
98,4.820000,18,10
99,9.480000,18,11
